"","counts_bg","counts_fg","freq_bg","freq_fg","n_cells_with_min_umis_above_thresh","log2_FC","p.value","adj.p.value"
"COL5A3",187,186,3.02436828952113e-06,4.06343555961394e-06,326,0.414209971229934,0.01497,0.025978421904505
"CCT8",4388,4331,7.09675297027738e-05,9.46168785413332e-05,6762,0.414430984464998,0,0
"KCNN3",571,565,9.2348357931367e-06,1.23432316730208e-05,944,0.414664671568723,0,0
"AP001058.3",116,116,1.87607872505054e-06,2.53418561782375e-06,226,0.414716585014426,0.02526,0.0416126965428937
"MCM3",649,642,1.04963370048086e-05,1.40254066089901e-05,1080,0.414726764163921,2e-05,5.43557245458386e-05
"CTSD",4663,4604,7.54151301285402e-05,0.000100580953314315,5838,0.414953146767854,0,0
"DDX19B",587,581,9.49360527245402e-06,1.26927745168586e-05,1126,0.415184205714335,1e-05,2.79210069444444e-05
"YIF1B",909,899,1.4701341043715e-05,1.96399385381341e-05,1605,0.415389603794147,0,0
"KDM7A",517,512,8.36148880044076e-06,1.11853710028083e-05,983,0.415470414189558,2e-05,5.43557245458386e-05
"EZR",9055,8945,0.000146447352201143,0.000195416296133047,11745,0.415921958234201,0,0
"CDC34",288,286,4.65785062771168e-06,6.24807833359993e-06,556,0.416009951562163,0.00056,0.00125697138869505
"TMEM55B",701,694,1.13373378125899e-05,1.51614208514628e-05,1343,0.416137999205416,0,0
"GLUD1",1487,1471,2.4049388484053e-05,3.21360952053339e-05,2606,0.41669034187424,0,0
"HTATIP2",1148,1136,1.85667101410174e-05,2.48175419124809e-05,2076,0.416694068678647,0,0
"ZFAND6",2847,2815,4.60447942260249e-05,6.14976940877056e-05,4929,0.416708443576976,0,0
"BLOC1S4",823,815,1.33104550923844e-05,1.78048386079858e-05,1576,0.416991317587752,0,0
"RANBP1",5169,5111,8.35987149119503e-05,0.000111657092178424,6953,0.417089011389824,0,0
"SNAP29",830,822,1.34236667395857e-05,1.79577636021648e-05,1487,0.417132860789399,0,0
"ZFPL1",401,398,6.48541007539022e-06,8.69487824046424e-06,771,0.417390324317144,5e-05,0.000130513288699533
"SLC35A5",314,312,5.07835103160232e-06,6.81608545483629e-06,614,0.417462928570269,0.00034,0.000790037926675095
"GCNT2",137,137,2.21571366665452e-06,2.99296060036081e-06,265,0.417531577782259,0.01667,0.0286120891141942
"HID1",320,318,5.17538958634631e-06,6.94716402127545e-06,599,0.417765152427132,0.00044,0.00100444286728176
"BOP1",503,499,8.13506550603811e-06,1.09013674421901e-05,937,0.41783082718144,2e-05,5.43557245458386e-05
"SLC25A4",782,775,1.26473583016338e-05,1.69309814983914e-05,1331,0.417963278974409,0,0
"ZNF428",1698,1681,2.74619109925501e-05,3.67238450307045e-05,3044,0.417964356142311,0,0
"MRPL53",327,325,5.28860123354764e-06,7.10008901545447e-06,633,0.418103914277225,0.00026,0.000613453145057766
"FOXRED1",237,236,3.83302291238774e-06,5.15575694660694e-06,451,0.418259968588384,0.00182,0.00374717874859978
"TRIM13",902,894,1.45881293965137e-05,1.95307063994348e-05,1679,0.418461414787957,0,0
"PI4K2A",146,146,2.36127149877051e-06,3.18957845001955e-06,282,0.41849891073375,0.01294,0.0227346770449269
"SLCO4A1",147,147,2.37744459122784e-06,3.21142487775941e-06,282,0.41859933847042,0.01276,0.0224460158599945
"GAA",338,336,5.46650525057829e-06,7.34039972059293e-06,633,0.41860826674861,0.00032,0.000745855072463768
"NANP",52,53,8.41000807781276e-07,1.15786067021258e-06,102,0.41870426116517,0.11176,0.157113653846154
"AP3S2",150,150,2.42596386859983e-06,3.27696416097899e-06,297,0.418892865447287,0.00992,0.0178804595124685
"TBC1D10C",2805,2778,4.53655243428169e-05,6.06893762613308e-05,4843,0.419046224678124,0,0
